Nº,Año plan,Mes num,Mes,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
1,1,7,Julio,28,1,Lunes,2026-07-06,Reel,Marketing,Visibilidad,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Visibilidad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
2,1,7,Julio,28,1,Martes,2026-07-07,Carrusel,Fiscalidad,IRPF,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar IRPF en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
3,1,7,Julio,28,1,Miércoles,2026-07-08,Post,Mentalidad,Enfoque,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Enfoque aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
4,1,7,Julio,28,1,Jueves,2026-07-09,Reel,Storytelling,Error vivido,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Error vivido para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
5,1,7,Julio,28,1,Viernes,2026-07-10,Carrusel,IA,Organización,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Organización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
6,1,7,Julio,28,1,Sábado,2026-07-11,Post,Marca personal,Libros,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Libros conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
7,1,7,Julio,28,1,Domingo,2026-07-12,Reel,Venta,Urgencia,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar Urgencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
8,1,7,Julio,29,2,Lunes,2026-07-13,Reel,Marketing,Oferta,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Oferta impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
9,1,7,Julio,29,2,Martes,2026-07-14,Carrusel,Fiscalidad,Obligaciones,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Obligaciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
10,1,7,Julio,29,2,Miércoles,2026-07-15,Post,Mentalidad,Responsabilidad,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Responsabilidad aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
11,1,7,Julio,29,2,Jueves,2026-07-16,Reel,Storytelling,Caso cliente,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Caso cliente para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
12,1,7,Julio,29,2,Viernes,2026-07-17,Carrusel,IA,Automatización,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Automatización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
13,1,7,Julio,29,2,Sábado,2026-07-18,Post,Marca personal,Rutina,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Rutina conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
14,1,7,Julio,29,2,Domingo,2026-07-19,Reel,Venta,Oferta,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Oferta como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
15,1,7,Julio,30,3,Lunes,2026-07-20,Reel,Marketing,Leads,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Leads impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
16,1,7,Julio,30,3,Martes,2026-07-21,Carrusel,Fiscalidad,Sociedades,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar Sociedades en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
17,1,7,Julio,30,3,Miércoles,2026-07-22,Post,Mentalidad,Identidad,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Identidad aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
18,1,7,Julio,30,3,Jueves,2026-07-23,Reel,Storytelling,Lección de negocio,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Lección de negocio para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
19,1,7,Julio,30,3,Viernes,2026-07-24,Carrusel,IA,Análisis,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Análisis para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
20,1,7,Julio,30,3,Sábado,2026-07-25,Post,Marca personal,Lecciones personales,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Lecciones personales conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
