Nº,Año plan,Mes num,Mes,Tema mensual,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
1,1,7,Julio,Captación y posicionamiento,28,1,Lunes,2026-07-06,Reel,Marketing,Visibilidad,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Visibilidad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
2,1,7,Julio,Captación y posicionamiento,28,1,Martes,2026-07-07,Carrusel,Fiscalidad,IRPF,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar IRPF en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
3,1,7,Julio,Captación y posicionamiento,28,1,Miércoles,2026-07-08,Post,Mentalidad,Enfoque,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Enfoque aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
4,1,7,Julio,Captación y posicionamiento,28,1,Jueves,2026-07-09,Reel,Storytelling,Error vivido,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Error vivido para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
5,1,7,Julio,Captación y posicionamiento,28,1,Viernes,2026-07-10,Carrusel,IA,Organización,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Organización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
6,1,7,Julio,Captación y posicionamiento,28,1,Sábado,2026-07-11,Post,Marca personal,Libros,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Libros conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
7,1,7,Julio,Captación y posicionamiento,28,1,Domingo,2026-07-12,Reel,Venta,Urgencia,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Urgencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
8,1,7,Julio,Captación y posicionamiento,29,2,Lunes,2026-07-13,Reel,Marketing,Oferta,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Oferta impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
9,1,7,Julio,Captación y posicionamiento,29,2,Martes,2026-07-14,Carrusel,Fiscalidad,Obligaciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Obligaciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
10,1,7,Julio,Captación y posicionamiento,29,2,Miércoles,2026-07-15,Post,Mentalidad,Responsabilidad,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Responsabilidad aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
11,1,7,Julio,Captación y posicionamiento,29,2,Jueves,2026-07-16,Reel,Storytelling,Conversación real,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Conversación real para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
12,1,7,Julio,Captación y posicionamiento,29,2,Viernes,2026-07-17,Carrusel,IA,Asistentes IA,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Asistentes IA para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
13,1,7,Julio,Captación y posicionamiento,29,2,Sábado,2026-07-18,Post,Marca personal,Tu historia,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Tu historia conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
14,1,7,Julio,Captación y posicionamiento,29,2,Domingo,2026-07-19,Reel,Venta,CTA,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar CTA como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
15,1,7,Julio,Captación y posicionamiento,30,3,Lunes,2026-07-20,Reel,Marketing,Posicionamiento,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Posicionamiento impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
16,1,7,Julio,Captación y posicionamiento,30,3,Martes,2026-07-21,Carrusel,Fiscalidad,Errores fiscales,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Errores fiscales en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
17,1,7,Julio,Captación y posicionamiento,30,3,Miércoles,2026-07-22,Post,Mentalidad,Resiliencia,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Resiliencia aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
18,1,7,Julio,Captación y posicionamiento,30,3,Jueves,2026-07-23,Reel,Storytelling,Cambio de visión,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Cambio de visión para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
19,1,7,Julio,Captación y posicionamiento,30,3,Viernes,2026-07-24,Carrusel,IA,Ideas de contenido,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar Ideas de contenido para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
20,1,7,Julio,Captación y posicionamiento,30,3,Sábado,2026-07-25,Post,Marca personal,Universo,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Universo conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
21,1,7,Julio,Captación y posicionamiento,30,3,Domingo,2026-07-26,Reel,Venta,Mentoría,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Mentoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
22,1,7,Julio,Captación y posicionamiento,31,4,Lunes,2026-07-27,Reel,Marketing,Conversión,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Conversión impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
23,1,7,Julio,Captación y posicionamiento,31,4,Martes,2026-07-28,Carrusel,Fiscalidad,Inspecciones,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Inspecciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
24,1,7,Julio,Captación y posicionamiento,31,4,Miércoles,2026-07-29,Post,Mentalidad,Límites,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Límites aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
25,1,7,Julio,Captación y posicionamiento,31,4,Jueves,2026-07-30,Reel,Storytelling,Caso cliente,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Caso cliente para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
26,1,7,Julio,Captación y posicionamiento,31,4,Viernes,2026-07-31,Carrusel,IA,Automatización,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Automatización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
27,1,8,Agosto,Hábitos y disciplina,31,4,Sábado,2026-08-01,Post,Marca personal,Rutina,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Rutina conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
28,1,8,Agosto,Hábitos y disciplina,31,4,Domingo,2026-08-02,Reel,Venta,Oferta,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Oferta como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
29,1,8,Agosto,Hábitos y disciplina,32,5,Lunes,2026-08-03,Reel,Marketing,Leads,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Leads impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
